I'm too short.	Я слишком низкий.
I've got a busy schedule.	У меня напряжённый график.
I don't really understand football.	Я не очень-то понимаю футбол.
I get very angry when you don't answer my questions.	Меня очень злит, когда вы не отвечаете на мои вопросы.
We won't do that.	Мы такого не сделаем.
The show will begin soon.	Спектакль скоро начнётся.
I ate way too much.	Я слишком много съела.
Tom isn't too bright.	Том не блещет умом.
Tom has a little money.	У Тома есть немного денег.
We took advantage of the good weather to play tennis.	Мы воспользовались хорошей погодой, чтобы поиграть в теннис.
Explain to me how that could happen.	Объясните мне, как такое могло произойти.
Do you know what'll happen?	Вы знаете, что будет?
I was dancing.	Я танцевала.
I can't go there.	Я не могу туда пойти.
He wondered how many times the sun would rise before his salary would.	Он задался вопросом, сколько раз поднимется солнце, прежде чем у него поднимется зарплата.
The magician made birds appear and disappear.	Волшебник заставлял птиц появляться и исчезать.
Millions of workers lost their jobs.	Миллионы рабочих потеряли свои рабочие места.
I thought you looked sad.	Я подумал, что ты какой-то грустный.
It was cloudy all day.	Весь день было облачно.
Why are we poor?	Почему мы бедные?
Please answer the question.	Отвечай, пожалуйста, на вопрос!
I can't understand what she says.	Я не понимаю, что она говорит.
It is difficult to translate a poem into another language.	Перевести стихотворение на другой язык сложно.
I like that necklace.	Мне нравится то ожерелье.
Sorry for the harsh words.	Прости за грубые слова.
Tom is hiding in the garage.	Том прячется в гараже.
Tom went to the casino.	Том пошёл в казино.
Everyone liked you.	Тебя все любили.
Normally, we eat three times a day.	Обычно мы едим три раза в день.
Please stop fighting.	Пожалуйста, перестаньте драться.
Please remain seated.	Пожалуйста, не вставайте.
I think Tom and Mary don't know each other.	Я думаю, что Том и Мэри друг с другом не знакомы.
I knew this would happen again.	Я знал, что это повторится.
Please place your coat on the chair.	Положи пальто на стул, пожалуйста.
Tom didn't believe it at first.	Том сначала этому не поверил.
Do you sometimes go to the movies?	Ты иногда ходишь в кино?
They voted against it.	Они голосовали против.
They are struggling for freedom.	Они сражаются за свободу.
Do you know what time it is in Boston?	Ты знаешь, сколько времени в Бостоне?
Do you think Tom would help Mary do that?	Думаете, Том поможет Мэри это сделать?
I did what you asked.	Я сделал, что вы просили.
Tom treated me like a princess.	Том обращался со мной как с принцессой.
Tom is the boy I told you about.	Том - мальчик, о котором я тебе рассказывал.
Tom asked me whether I liked Mary or not.	Том спросил меня, нравится мне Мэри или нет.
Let's go to Tom's place.	Давайте пойдем к Тому домой.
Everyone has a right to live.	Право на жизнь есть у всех.
Tom doesn't want to go there by himself.	Том не хочет ехать туда один.
I want you to look at something.	Я хочу, чтобы ты кое на что посмотрел.
If you are going to smoke, please go outside.	Если будешь курить, выйди, пожалуйста, на улицу.
I was angry with Tom.	Я был зол на Тома.
Tom is in court.	Фома находится в суде.
What's Tom staring at?	На что Том пялится?
You are no longer a child.	Ты уже не ребёнок.
That boy is a chatterbox.	Этот мальчик болтун.
It took several months to shoot that film.	Чтобы снять этот фильм, потребовалось несколько месяцев.
I'm very grateful to you.	Я тебе очень признательна.
It is in the kitchen.	Она на кухне.
Did Tom bite you?	Том Вас укусил?
I didn't send for Tom.	Я не посылал за Томом.
Did you buy this book?	Ты купил эту книгу?
Tom made coffee for us.	Том сделал нам кофе.
I saw someone.	Я кого-то видел.
I think that it was his mistake.	Думаю, что это была его ошибка.
I think you should leave Tom alone.	Думаю, тебе стоит оставить Тома в покое.
Can you walk on stilts?	Ты умеешь ходить на ходулях?
This is his car.	Это его машина.
Tom is exactly like us.	Том точно такой же, как мы.
There's someone hiding in the closet.	В шкафу кто-то прячется.
Tom likes to swim.	Том любит плавать.
We'll see what happens.	Посмотрим, что будет.
I went into details.	Я углубился в детали.
I've kept the best for last.	Я оставил самый лучший напоследок.
Tom pretended everything was OK.	Том сделал вид, что всё в порядке.
I'm sorry, my father's not here.	Мне очень жаль, но отца здесь нет.
I didn't want to talk about myself.	Я не хотел говорить о себе.
I used to wash my hair only once a week.	Я раньше мыл голову всего раз в неделю.
I'm upset.	Я расстроен.
That's a great story.	Это отличная история.
Would you like to come in and have a cup of coffee?	Не хочешь зайти и выпить чашечку кофе?
Tom has a lot of money, but not very many friends.	У Тома много денег, но не очень много друзей.
I found her kind.	Мне она показалась приятным человеком.
It rained heavily in the morning.	Утром был сильный дождь.
I'd like to believe that's true.	Хотелось бы верить, что это правда.
This would never have happened if you'd stayed home.	Этого бы вообще не случилось, если бы ты осталась дома.
Do you want to go to Boston with me?	Хотите поехать со мной в Бостон?
I wonder whether Tom could win.	Интересно, мог бы Том выиграть или нет.
We know we can do better.	Мы знаем, что мы можем сделать лучше.
Did you go to church today?	Ты ходил сегодня в церковь?
I was the one that was right all along.	Именно я с самого начала оказался прав.
Did Tom say why he was leaving?	Том сказал, почему уезжает?
I don't want to rock the boat.	Я не хочу раскачивать лодку.
Would you like to have a bath before going to bed?	Ты хотел бы принять ванну перед сном?
Tom needed money.	Тому нужны были деньги.
I'm taking pictures of the bridge.	Я фотографирую мост.
I think I wrote down the wrong phone number.	Думаю, я неправильно записал номер.
Here's what we found.	Вот что мы нашли.
He was paralyzed with terror.	Он был парализован ужасом.
Tom wrote me about that.	Том написал мне об этом.
Tom tried to hide a smile.	Том пытался скрыть улыбку.
What do they know?	Что они знают?
Although it was raining, I went out.	Хотя шёл дождь, я вышел.
Are you kidding me?	Ты меня разыгрываешь?
Tom couldn't go with us.	Том не смог поехать с нами.
I waited for Tom for a long time.	Я долго ждал Тома.
May I take a rest for a while?	Можно мне немного передохнуть?
Tom is astonished.	Том был изумлён.
This experience has changed me.	Этот случай меня изменил.
How could Tom not know that was going to happen?	Как Том мог не знать, что это произойдёт?
Are you ready for Halloween?	Ты готов к Хэллоину?
The bus was empty.	В автобусе было пусто.
Neither of us wants to get married.	Никто из нас не хочет выходить замуж.
This annoys me.	Это меня раздражает.
You didn't need to come so early.	Вам не нужно было так рано приходить.
We assume that he is honest.	Мы предполагаем, что он честный.
My hobby is collecting old toys.	Мое хобби - собирание старых игрушек.
How old is your cat?	Сколько лет твоему коту?
I told you I'm not ready.	Я говорил вам, что я не готов.
Tom has chosen you.	Том Вас выбрал.
You look tired. You ought to rest for an hour or two.	Ты выглядишь уставшим. Тебе необходимо отдохнуть час или два.
I cannot tell which is the right side of this paper.	Я не могу сказать, какая сторона бумаги та, что нужная.
Tom doesn't have the right to say that.	Том не имеет права так говорить.
I want to know what Tom meant.	Я хочу знать, что Том имел в виду.
You didn't protect me.	Вы меня не защитили.
I don't think Tom has to go there by himself.	Не думаю, что Тому надо идти туда одному.
Tom wanted Mary to be safe.	Том хотел, чтобы Маша была в безопасности.
The dictator oppressed the people.	Диктатор угнетал народ.
Tom doesn't know anything yet.	Том ещё ничего не знает.
I don't want to kiss Tom.	Я не хочу целовать Тома.
Can you help me with my French?	Можешь помочь мне с французским?
You're too modest.	Вы слишком скромны.
I met your parents yesterday.	Вчера я встретил твоих родителей.
I'm going away.	Я ухожу.
Why are we still here?	Почему мы ещё здесь?
Do you want to know what the problem is?	Хочешь знать, в чём проблема?
Are you saying this doesn't matter?	Вы говорите, это неважно?
If you knew about this, why didn't you tell us?	Если вы знали об этом, то почему нам не сказали?
They're evil.	Они злые.
Well, see you later.	Ладно, увидимся.
Do you have any plans?	У вас есть какие-нибудь планы?
Tom pressed his nose against the window.	Том прижался носом к окну.
I had no notion that you were coming.	Я понятия не имел, что ты придёшь.
Tom gave Mary a French dictionary.	Том дал Маше французский словарь.
We can't talk here.	Мы не можем здесь разговаривать.
Put that on the floor.	Поставь это на пол.
How could you say yes without consulting me?	Как ты мог согласиться, не посоветовавшись со мной?
This wasn't that expensive.	Это было не так уж и дорого.
Who told you all that?	Кто тебе всё это сказал?
I don't have Tom's phone number.	У меня нет телефона Тома.
You're the only person I know besides me who likes to do that.	Кроме меня, ты единственный человек, которого я знаю, кто любит это делать.
Let me in. I have to talk to you.	Впустите меня. Мне надо с вами поговорить.
I think it's time for me to do my homework.	Я думаю, мне пора делать домашнюю работу.
Tom was holding a bloody knife in his hand when the police entered the room.	Том держал в руке окровавленный нож, когда в комнате появилась полиция.
Don't tell my mother.	Не говори моей маме.
I suppose you could say that.	Полагаю, можно сказать и так.
Are you going to be eating that piece of pie?	Ты собираешься есть этот кусок пирога?
Our only witness is refusing to testify.	Наш единственный свидетель отказывается давать показания.
She reconciled with her friend.	Она помирилась со своей подругой.
Tell me what you wrote.	Скажи мне, что ты написала.
Where do you plan to spend your summer vacation?	Где вы планируете провести летние каникулы?
His camera is three times as expensive as mine.	Его камера в три раза дороже моей.
It's nice.	Хорошо.
Tom is a member of our crew.	Том - член нашей команды.
This is extremely confidential.	Это крайне конфиденциально.
You were unconscious.	Вы были без сознания.
You can rely on Tom.	На Тома можно положиться.
Tom has been trying to get Mary to marry him ever since he graduated from high school.	Том пытался уговорить Мэри выйти за него замуж, с тех пор как он окончил школу.
I doubt that Tom is happy with his new job.	Сомневаюсь, что Том доволен новой работой.
I wonder if you need to do that.	Интересно, нужно ли вам это делать.
I'm taking an umbrella with me.	Я беру с собой зонтик.
I can defend myself, Tom.	Я могу за себя постоять, Том.
Tom was persistent.	Том был настойчив.
Tom said Mary was going to do that by herself.	Том сказал, что Мэри собирается сделать это сама.
The water was cold.	Вода была холодная.
I'm heavier than you.	Я тяжелее тебя.
I'm sorry if I offended you.	Простите, если обидел.
I told Tom not to swim too long.	Я сказал Тому, чтобы он не плавал слишком долго.
I really do have to go.	Мне действительно пора идти.
Have you tried online dating?	Ты когда-нибудь пробовала знакомиться по интернету?
Tom is my stepdad.	Том — мой отчим.
He looks like a monkey.	Он похож на обезьяну.
You have to be strong.	Тебе надо быть сильной.
Tom was hoping we'd do that.	Том надеялся, что мы это сделаем.
I don't want you to come back to Boston.	Я не хочу, чтобы ты возвращался в Бостон.
This room is well furnished.	Эта комната хорошо обставлена.
You're not asking me, are you?	Ты не спрашиваешь меня, не так ли?
I hope you'll both be happy together.	Надеюсь, вы оба будете счастливы вместе.
I think things will get better.	Я думаю, всё наладится.
I don't know whether you are telling the truth or not.	Уж не знаю, говоришь ли ты правду или нет.
You should speak with Tom.	Тебе следует поговорить с Томом.
The train had already left when I arrived at the station.	Поезд уже ушёл, когда я прибыл на станцию.
I find that very interesting.	Я нахожу это очень интересным.
Tom couldn't resist peeking through the keyhole.	Том не мог удержаться от соблазна подсмотреть в замочную скважину.
He knows how to open this door.	Он знает, как открыть эту дверь.
Is there somebody else here?	Здесь ещё кто-нибудь есть?
Have you ever known them to come on time?	Вы когда-нибудь слышали, чтобы они приходили вовремя?
I like broccoli, but I hate cauliflower.	Брокколи я люблю, а цветную капусту терпеть не могу.
Have you eaten yet?	Вы уже поели?
Tom is in Australia, visiting his family.	Том в Австралии, навещает своих.
What have you done with my bag?	Что ты сделал с моей сумкой?
We need everything.	Нам нужно всё.
It wasn't your fault, you know.	Это не была твоя вина, ты же знаешь.
I'd like to dance with you.	Я хотел бы потанцевать с тобой.
One of us will attend the meeting.	Один из нас придёт на собрание.
The person who opened the door and came in was an utter stranger.	Человек, открывший дверь и вошедший внутрь, оказался полным незнакомцем.
They became close friends.	Они стали близкими друзьями.
I didn't know you were rich.	Я не знал, что ты богатый.
How old is your dog?	Сколько лет вашей собаке?
Tom knows who killed his dog, but he won't tell us.	Том знает, кто убил его пса, но нам не говорит.
Put that in writing.	Запиши это.
I don't have a thing to wear.	Мне нечего надеть.
I have something very important to tell you.	Мне нужно сказать тебе что-то очень важное.
I caught them kissing.	Я застукал их целующимися.
You need to give Tom some money.	Тебе нужно дать Тому немного денег.
Do you feel like having a snack?	Не желаешь перекусить?
Thanks in advance.	Заранее спасибо.
Do not give in to those demands.	Не уступай этим требованиям.
This is my life and no one has the right to tell me what to do.	Это моя жизнь, и никто не имеет право говорить мне, что делать.
I hope to participate.	Надеюсь принять участие.
Tom has a message for John from Mary.	У Тома есть сообщение для Джона от Мэри.
I always buy fresh vegetables instead of frozen ones.	Я всегда покупаю свежие овощи вместо замороженных.
Tom wanted to impress Mary.	Тому хотелось произвести на Мэри впечатление.
The artist is gifted.	Художник одарён.
Tom is going to buy a new computer.	Том собирается купить новый компьютер.
There's a woman waiting to see you.	Там тебя какая-то женщина ждёт.
You don't play golf, do you?	Ты не играешь в гольф, не так ли?
I don't know Tom's last name.	Я не знаю, как фамилия Тома.
Tom thinks he's a good singer.	Том думает, что он хороший певец.
I was blinded by the light.	Я был ослеплён светом.
Don't say that.	Не говорите этого.
I love a good party.	Я люблю хорошую вечеринку.
Look at the cute little baby sleeping in the cradle.	Посмотрите на милую маленькую малышку, спящую в колыбели.
Give me the gun.	Дай мне ружьё.
I like hot tea better than cold.	Горячий чай мне нравится больше, чем холодный.
I didn't change anything.	Я ничего не менял.
Why did you go there without me?	Почему ты ездил туда без меня?
Nobody could've known that this was going to happen.	Никто не мог знать, что это произойдёт.
I wonder what Tom did that for.	Интересно, зачем Том это сделал.
Tom is much better at French than me.	У Тома с французским гораздо лучше, чем у меня.
Tom is in need of help.	Том нуждается в помощи.
Tom was here then.	Том был тогда здесь.
I never could do it.	Я никогда не умел этого делать.
Don't try to speak.	Не пытайся говорить.
I can't imagine living a life without books.	Не могу представить жизни без книг.
Tom doesn't want anybody to know he's going to Boston.	Том не хочет, чтобы кто-то знал, что он едет в Бостон.
I don't want this night to end.	Я не хочу, чтобы эта ночь закончилась.
I hope that won't happen again.	Надеюсь, этого больше не случится.
I lied.	Я солгал.
I don't want to know what you think about this.	Я не хочу знать, что вы об этом думаете.
You may borrow my car anytime you want to.	Вы можете взять мою машину в любое время, когда хотите.
Tom will listen to you.	Том вас послушает.
Do you think that'll happen soon?	Ты думаешь, это скоро случится?
Tom wasn't jumping on the bed.	Том не прыгал на кровати.
Tom ate more than Mary did.	Том съел больше Мэри.
No one comes to visit me anymore.	Меня больше никто не навещает.
Is it really that important to you?	Это действительно так для вас важно?
I wasn't the only one who was late.	Не только я опоздал.
Do that before it gets dark.	Сделайте это, пока не стемнело.
I'd like to see her again.	Я бы хотела снова её увидеть.
Tom likes oranges and eats three or four a week.	Том любит апельсины и съедает их по три-четыре штуки в неделю.
Is Tom that bad?	Том такой плохой?
Do you like Japanese food?	Вам нравится японская еда?
I know the poem by heart.	Я знаю это стихотворение наизусть.
Tom got stopped by the police.	Тома остановила полиция.
I have something to say to all of you.	Мне надо вам всем кое-что сказать.
Something outside the window caught Tom's attention.	Что-то за окном привлекло внимание Тома.
His name was Tom.	Его звали Том.
This is of interest to no one.	Это никому не интересно.
I didn't know that would happen.	Я не знал, что это произойдёт.
How can I get to heaven?	Как мне попасть в рай?
I've got kids.	У меня дети.
I don't think Tom is sleepy.	Не думаю, что Том хочет спать.
I always get nervous just before a match.	Я всегда нервничаю перед самым началом матча.
What a beautiful baby!	Какой красивый ребёнок!
He is an office worker.	Он офисный работник.
You're a good boy.	Ты молодец.
How did Tom talk Mary into babysitting his children?	Как Том уговорил Мэри присматривать за его детьми?
He couldn't bring himself to shoot the deer.	Он не мог заставить себя застрелить оленя.
Don't fail to write to me.	Не забывай мне писать.
Tom won't be able to become a policeman.	Том не сможет стать полицейским.
Tell me about it.	Расскажите мне об этом.
When did you buy that hat?	Когда вы купили эту шляпу?
She has a sharp tongue.	У неё острый язык.
I don't have time to help you today.	У меня сегодня нет времени тебе помогать.
Tell me what my options are.	Скажите мне, какие у меня варианты.
He left home for Spain.	Он уехал обратно в Испанию.
You're a good listener.	Вы умеете слушать.
I don't like fried food.	Я не люблю жареную пищу.
Did you say you would go?	Вы сказали, что пойдёте?
She said that he was handsome.	Она сказала, что он красивый.
Tom tried to warn me.	Том пытался меня предупредить.
He deposited the prize money in the bank.	Он положил в банк денежный приз.
Leave my things alone.	Не трожь мои вещи.
How'd you find it?	Как бы вы его нашли?
Tom cooked lunch for me.	Том приготовил для меня обед.
I don't want to do that either.	Я тоже не хочу этого делать.
Let's hope it's all true.	Будем надеяться, что всё это правда.
I like it in here.	Мне здесь нравится.
You gave it to me.	Ты мне её подарил.
Thanks for volunteering.	Спасибо за добровольное участие.
I sat down on the ground next to Tom.	Я сел на землю рядом с Томом.
This train runs between Tokyo and Hakata.	Этот поезд ходит между Токио и Хаката.
I wanted to kill Tom.	Я хотел убить Тома.
Who else ate with you?	Кто ещё с вами ел?
The children were asleep upstairs.	Дети спали наверху.
What a dope!	Вот болван!
Promise me you won't tell anyone.	Обещай мне, что никому не расскажешь.
Tom was barefoot.	Том был босой.
Tom arrived in Boston last night.	Том прибыл в Бостон вчера ночью.
I do hope you'll come again.	Я очень надеюсь, что ты ещё придёшь.
I've been to Boston many times.	Я много раз бывал в Бостоне.
He's so thin that he looks like a skeleton.	Он такой тощий, что похож на скелет.
Tom showed us his stamp collection.	Том показал нам свою коллекцию марок.
I'm Tom, Mary's husband.	Я Том, муж Мэри.
Would you like to play with us?	Ты бы хотел поиграть с нами?
Tom won't be handcuffed.	Том будет без наручников.
I don't want to go swimming with you.	Я не хочу идти с тобой плавать.
Are you young?	Ты молодой?
Tom didn't look that upset to me.	Том не показался мне таким уж расстроенным.
Tom punched her in the face.	Том ударил её по лицу.
It's still light out.	Снаружи ещё светло.
Why are you in my house?	Что вы делаете у меня в доме?
What do you like to do?	Что тебе нравится делать?
I thought you didn't want me to stay.	Я думал, вы не хотите, чтобы я остался.
When I lived in Boston, I rode my bicycle every day.	Когда я жил в Бостоне, я каждый день ездил на велосипеде.
Tom spends a lot of time at Mary's.	Том проводит много времени у Мэри.
Tom is almost there.	Том почти доехал.
I'll lend you the book as soon as I'm done reading it.	Я одолжу тебе книгу, как только прочитаю её.
I knew this wasn't going to work.	Я знал, что это не будет работать.
He employs a maid.	Он нанял служанку.
This is Tom speaking. Is Mary in?	Это Том. А Мэри можно?
I will call on him tomorrow.	Я загляну к нему завтра.
I thought it'd be a lot of fun.	Я думал, будет очень весело.
Tom arrived ten minutes ago, but I haven't seen him yet.	Том приехал десять минут назад, но я его ещё не видел.
Tom said he was satisfied.	Том сказал, что доволен.
We went to Boston.	Мы поехали в Бостон.
Tom sneezes a lot.	Том часто чихает.
We played cards last night.	Мы играли в карты прошлой ночью.
Tom hated himself.	Том ненавидел себя.
You seem very nervous this morning.	Вы выглядите очень нервными сегодня утром.
We know you have it.	Мы знаем, что она у вас.
Tom stamped his foot three times.	Том трижды топнул ногой.
We like coffee.	Мы любим кофе.
Is Tom really only thirty?	Тому правда только тридцать?
I'm clever.	Я умный.
Tom said it was your fault.	Том сказал, что это вы виноваты.
You should take her illness into consideration.	Вам следует принять во внимание её болезнь.
He took an oral examination.	Он сдавал устный экзамен.
We've got to leave early.	Мы должны уйти рано.
I never meant for Tom to get in trouble.	Я никогда не хотел, чтобы Том попал в беду.
See for yourself.	Сама посмотри.
I'll do what you say.	Я сделаю то, что ты говоришь.
Did Tom buy it?	Том это купил?
What'll we do if Tom is late?	Что будем делать, если Том опоздает?
Tell me about your teacher.	Расскажи мне о своём учителе.
That's all you need to know.	Это всё, что вам нужно знать.
Tom told me that he's never been to a funeral.	Том сказал мне, что никогда не был на похоронах.
Tom is always ready to help.	Том всегда готов помочь.
America is not the most democratic nation.	Америка - не самая демократическая страна.
Tom has finally stopped crying.	Том наконец перестал плакать.
You speak pretty good French.	Ты довольно хорошо говоришь по-французски.
Your answer is different from mine.	Ваш ответ отличается от моего.
I lived in Australia for three years.	Я три года прожил в Австралии.
What's eating her?	Что её гложет?
Where did you park the car?	Где ты припарковался?
I choose to be happy.	Я выбираю быть счастливой.
"Did you understand? ""More or less."""	"Вы поняли? - ""Более-менее""."
He explored the Amazon jungle.	Он исследовал джунгли Амазонки.
How many people are at your party?	Сколько людей у тебя на вечеринке?
She told me that she had bought a CD.	Она сказала мне, что купила компакт-диск.
I thought that you were going to wait for me.	Я думал, вы меня подождёте.
They make me laugh.	Они меня смешат.
Tom had never done anything like this before.	Том ещё никогда ничего подобного не делал.
This should've been done a long time ago.	Это надо было сделать давно.
I didn't betray you.	Я тебя не предавала.
If I hadn't had your cooperation, I couldn't have finished the work in time.	Я бы не закончил работу вовремя без твоей помощи.
I thought you told me you could do that.	Вы вроде говорили мне, что умеете это делать.
Tom grabbed Mary's hand.	Том схватил Мэри за руку.
Don't you think it's funny?	Тебе это не кажется смешным?
Tom has a beard now.	У Тома теперь борода.
Of course, we're prepared.	Конечно, мы готовы.
Tom bought it for me.	Том купил его мне.
We went to the park to take pictures.	Мы пошли в парк пофотографировать.
You were warned.	Тебя предупреждали.
You wouldn't understand.	Ты бы не понял.
I suppose we should tell Tom the truth.	Я полагаю, мы должны сказать Фоме правду.
The plane had already left the airport.	Самолёт уже вылетел из аэропорта.
Don't forget to take your medicine.	Не забудь принять лекарство.
I know both of Tom's brothers.	Я знаю обоих братьев Тома.
The kids nodded obediently.	Дети послушно кивнули.
Tom didn't expect the test to be as easy as it was.	Том не ожидал, что тест окажется настолько лёгким.
How many cameras do you have?	Сколько у вас фотоаппаратов?
I know that you'll learn a lot.	Я знаю, что вы многому научитесь.
I saw Tom die.	Я видел, как Том умирает.
He is a teacher and novelist.	Он педагог и романист.
This is the truth.	Это правда.
Tom will find out sooner or later.	Рано или поздно Том узнает.
Your shoelaces are untied.	У тебя шнурки развязаны.
I really don't want to play.	Я правда не хочу играть.
Do you still have my key?	Мой ключ ещё у тебя?
What is it you wanted to tell me?	И что ты хотел мне сказать?
She has lived alone for ages.	Она долго жила одна.
Tom usually eats breakfast with his family.	Том обычно завтракает со своей семьёй.
Tom slept on the park bench.	Том спал на скамейке в парке.
Didn't you eat lunch?	Ты не обедал?
The situation has improved.	Положение улучшилось.
Tom looks ill.	Том выглядит больным.
Someone told me Tom has quit his job.	Кто-то мне говорил, что Том бросил работу.
We have to give them something.	Нам надо им кое-что дать.
Tom's hair is black.	У Тома чёрные волосы.
I don't know any of her students.	Я ни одну из её студенток не знаю.
Did you know that Tom is good at making coffee?	Ты знал, что Том хорошо готовит кофе?
You have to let us help you.	Ты должен позволить нам помочь тебе.
Tom, Mary and John are playing cards in the living room.	Том, Мэри и Джон играют в карты в гостиной.
You must help Tom.	Ты должна помочь Тому.
It fell to pieces.	Он развалился на части.
When I awoke, it was snowing.	Когда я проснулся, шел снег.
Tom won't buy a new car.	Том не купит новую машину.
What are you going to see?	Что вы собираетесь посмотреть?
How did Tom get rich?	Как Том разбогател?
I don't think Tom knows French.	Не думаю, что Том знает французский.
I wanted to thank you for helping me.	Я хотел поблагодарить вас за то, что вы мне помогли.
Shell after shell smashed into the fort.	Снаряд за снарядом летел в крепость.
Weather permitting, we'll leave tomorrow morning.	Если позволит погода, мы уедем завтра утром.
She is a very shy girl.	Она очень стеснительная девочка.
I'm glad you made it home safely.	Я рад, что ты благополучно добрался до дома.
I don't think Tom has very many friends in Boston.	Не думаю, что у Тома очень много друзей в Бостоне.
She's a smart and independent girl.	Она девушка умная и самостоятельная.
Tom covered Mary with a blanket.	Том укрыл Мэри одеялом.
I sometimes meet Tom at the club.	Иногда я встречаю Тома в клубе.
What's this dog's name?	Как зовут эту собаку?
I talked to the waiter in French.	Я разговаривал с официантом по-французски.
I often help my sister do her homework.	Я часто помогаю сестре делать домашнюю работу.
Tom parked his car in front of Mary's house.	Том припарковал машину напротив дома Мэри.
Playing the oboe isn't easy.	Играть на гобое нелегко.
Will you be ready?	Ты будешь готов?
He considered two alternative courses.	Он рассматривал два альтернативных курса.
Visitors to Switzerland admire the Alps.	Посетители Швейцарии восхищаются Альпами.
I really agree with you.	Я действительно согласен с тобой.
Tom was still hungry.	Том всё ещё хотел есть.
I love you more than anyone else.	Я люблю тебя больше, чем кто бы то ни было.
I'm not the only one who likes Tom.	Я не единственная, кому нравится Том.
Why did Tom want Mary to leave?	Почему Том хотел, чтобы Мэри ушла?
His story was interesting.	Его история была интересна.
What Tom told you isn't true.	То, что Том тебе сказал, - неправда.
We wish you a pleasant flight.	Желаем вам приятного полёта.
Tom won't help us today.	Том нам сегодня не поможет.
You may as well go home now.	Можешь сейчас и домой пойти.
Turn up the volume.	Сделай погромче.
Is it possible to get to Boston by train?	До Бостона можно доехать на поезде?
I don't like oranges.	Я не люблю апельсины.
I'm the oldest.	Я самая старшая.
We both agree.	Мы оба согласны.
I remember seeing the movie before.	Я помню, что уже видел этот фильм раньше.
I plan to visit Tom in Boston next weekend.	Я планирую навестить Тома в Бостоне на следующих выходных.
Do you have a phone?	У вас есть телефон?
I don't want Tom to see it.	Я не хочу, чтобы Том его видел.
Tom came out of the room.	Том вышел из комнаты.
I am going to Hokkaido in the summer.	Летом я еду на Хоккайдо.
May I ask where you work?	Можно узнать, где вы работаете?
If she knew your address, she would write to you.	Если бы она знала твой адрес, она бы тебе написала.
Tom uses that word a lot.	Том часто использует это слово.
I hear Tom isn't in Australia now.	Я слышал, Том сейчас не в Австралии.
I told Tom to leave as soon as possible.	Я сказал Тому, чтобы он как можно скорее уходил.
I don't need a car.	Мне не нужна машина.
Where's your weapon?	Где ваше оружие?
Aren't you hungry yet?	Вы ещё не проголодались?
Who are you talking with?	С кем ты разговариваешь?
Don't let anyone open this door.	Не позволяйте никому открывать эту дверь.
Give the keys to Tom.	Дай ключи Тому.
You've disappointed us.	Вы нас разочаровали.
When is the test?	Когда зачёт?
The cat is in the house.	Кот в доме.
Tom saw that he was wrong.	Том видел, что он не прав.
Tom is not happy to see Mary.	Том не рад увидеть Машу.
Tom heard Mary crying.	Том услышал, как Мэри плачет.
I didn't know you at the time.	Я тогда не был с вами знаком.
Are you going to the bank tomorrow?	Вы идёте завтра в банк?
I'm not going to reveal their secrets.	Я не буду раскрывать их секреты.
That's probably not actually true.	Это, вероятно, вообще не так.
I will show you around.	Я тебе всё покажу.
Does Tom like this kind of music?	Тому нравится такая музыка?
It's more than a hundred years old.	Ему больше ста лет.
You're never going to find it.	Тебе её никогда не найти.
It's an infection.	Это какая-то зараза.
Did you forget to buy eggs?	Ты забыл купить яйца?
The museum's eastern gallery was closed for cleaning.	Восточный зал художественной галереи закрыли на уборку.
I wouldn't lie to you.	Я бы не стал вас обманывать.
Tom is listening.	Том слушает.
He decided not to go to the meeting.	Он решил не ходить на собрание.
Remember to mail the letter.	Не забудьте отправить письмо.
Did you happen to bring a blanket?	Ты, случаем, не принёс одеяло?
How dare you doubt me!	Как ты смеешь меня подозревать!
Didn't you know you didn't have to do that?	Вы не знали, что вам не надо этого делать?
Tom is in the kitchen, standing in front of the refrigerator.	Том на кухне, стоит перед холодильником.
You probably shouldn't tell anybody about that.	Вам, вероятно, не стоит никому говорить об этом.
I don't know anything about fishing.	Я ничего не понимаю в рыбалке.
I should've been more careful.	Я должен был быть более осторожным.
Why did you talk to Tom like that?	Почему ты так с Томом разговаривал?
Don't treat me like a child.	Не обращайтесь со мной как с ребёнком.
I wouldn't care.	Меня бы это не заботило.
She works for a big advertising firm in New York.	Она работает в большой рекламной фирме в Нью-Йорке.
You took advantage of me.	Ты воспользовался моим состоянием.
Why did Tom want Mary killed?	Почему Фома хотел, чтобы Машу убили?
Tom says he'll never do that again.	Том говорит, что никогда больше этого не сделает.
It is getting lighter outside.	Снаружи светлеет.
Which book did Tom choose?	Какую книгу выбрал Том?
Tom works harder now than he did last year.	Том работает теперь больше, чем в прошлом году.
Has any action been taken on my case?	Было что-нибудь предпринято по моему делу?
Life is a dream.	Жизнь — это сон.
I hate this store.	Ненавижу этот магазин.
Do you find me attractive?	Ты находишь меня привлекательной?
Tom likes to hunt.	Том любит охоту.
That would work.	Это бы сработало.
This book is widely available in libraries.	Эта книга широко доступна в библиотеках.
I had a phone call from him.	Он связался со мной по телефону.
Your snoring kept me up all night.	Твой храп мешал мне заснуть всю ночь.
I'll get that for you.	Я тебе это принесу.
I heard her singing.	Я слышал, как она пела.
Tom wrote a short story about a young girl and her dog.	Том написал рассказ о девушке и её собаке.
